industry_j,industry_name,interm_imported,interm_total,gross_output_q,imp_share_of_intermediates,imp_share_of_total_input
62,"Tepung Terigu, Pati dan Produk Pati",25349770,26672689,40051809,.9504017386473482,.6329244704028225
121,"Barang-barang Elektronik, Komunikasi dan Perlengkapannya",49581070,99530735,169080115,.4981483357879353,.2932401010018239
73,Minuman Beralkohol,2756896,4181794,9842865,.6592615513820145,.2800908068941309
130,Mesin lainnya dan perlengkapannya,29141647,73022355,110166594,.3990784328990759,.2645234452832408
122,"Alat Ukur, Fotografi, Optik dan Jam",7131197,17057767,27375247,.4180615786345305,.2604979966025512
101,Vernis dan Lak,830894,1996522,3205168,.4161707208836166,.259235709329433
138,Perhiasan,11686213,31050258,46137983,.3763644411585887,.2532883372903406
134,Pesawat Terbang dan Jasa Perbaikannya,1950783,4228036,7994162,.4613922398011748,.2440259529391574
120,Barang-barang Logam Lainnya,20349447,49997669,85573805,.4070079147089837,.2377999552549989
77,Benang,24288585,67157345,102334578,.3616668437383878,.2373448493626465
129,"Mesin untuk keperluan kantor dan akunting, dan bagian serta perlengkapannya",2519874,7866857,11003468,.3203152161021867,.2290072548036673
128,Mesin Penggerak Mula,24178149,67791355,107349789,.3566553434431278,.2252277272757378
98,"Plastik, Karet dan Serat Buatan",21789828,67447588,103441243,.3230631168011524,.2106493248539173
99,Pestisida,3235815,9508374,15448604,.3403121290769589,.2094567897526534
100,Cat dan tinta cetak,9535385,28116006,46422540,.3391443649570995,.205404206663401
127,Alat Listrik Untuk Rumah Tangga,15568933,47156868,76144424,.3301519727730858,.2044658319301227
124,Mesin Listrik dan Perlengkapannya,14500092,41214090,71682645,.3518236603064632,.2022817656909842
117,Bahan Bangunan dari Logam,15250875,43606999,75543686,.3497345689851301,.2018815311712484
123,Mesin Pembangkit dan Motor Listrik,4429747,13884471,21951403,.3190432678349791,.2017978987493419
70,Kedele Olahan,19475227,58028912,96648397,.3356124788277954,.2015059494468387
119,"Alat-alat dapur, pertukangan, perabot rumahtangga dan kantor dari logam",7216959,21002475,35945602,.3436242157174333,.2007744647036375
133,Kereta Api dan Jasa Perbaikannya,820310,2411246,4138177,.3402017048447151,.198229800223625
142,Alat Kedokteran,5190247,17406231,26862504,.2981832770115483,.1932153085952077
110,Barang-Barang dari Plastik,29949600,102005527,156564005,.2936076199086742,.1912930114428281
