sector,sector_name,impor_antara_rp,ipr,ntb_pengguna_material_pct_pdb,kedalaman_maks,industri_terdalam,n_pengguna_1pct,n_pengguna_3pct,n_pengguna_5pct,pangsa_fd_proksi,eksposur_konsumen,layak_kuantitas,layak_harga,layak_konsumen,lolos_saringan,diag_pct_pdb_s050,diag_harga_spike_s050_pct,diag_top3_industri_s050,diag_pct_pdb_s100,diag_harga_spike_s100_pct
9,Padi-padian dan Bahan Makanan Lainnya,40893345.0,0.9902361596334494,1.6080693188495092,0.6343929433998848,"Tepung Terigu, Pati dan Produk Pati",5,4,4,0.0010504023119796086,0.001040146351484784,True,True,False,True,2.5462996488222056,171.8281828459045,Minyak Hewani dan Minyak Nabati; Kelapa Sawit; Penyediaan Makan dan Minum,5.078753286573187,171.8281828459045
65,Gula,23051764.0,0.2299064956560522,5.26074183977568,0.13650563402298385,Minuman Tak Beralkohol,13,6,4,0.2909626942372976,0.0668942133987405,True,False,True,True,2.1729660179238173,50.23782615059784,Penyediaan Makan dan Minum; Makanan Lainnya; Perdagangan selain Mobil dan Sepeda Motor,8.00406621850358,138.88477203652337
61,Tepung Lainnya,11786648.0,0.22745261136981312,3.5063167354616693,0.20498993209590252,"Mie, Macaroni dan Sejenisnya",5,2,2,0.15736238638511796,0.035792485714680605,True,False,False,True,1.46574839985365,35.23227439126806,Penyediaan Makan dan Minum; Perdagangan selain Mobil dan Sepeda Motor; Hasil Penggilingan Padi dan Penyosohan Beras,5.479752952719028,90.62821350575322
23,Kakao,6492327.0,0.10801694422977741,2.0432336096777814,0.3207566562080724,Coklat dan Kembang Gula,10,5,4,0.3087941578753838,0.03335500132970641,True,False,False,True,0.4349863246039678,11.744332617651887,Makanan Lainnya; Makanan dan Minuman Terbuat dari Susu; Minuman Tak Beralkohol,1.4011414130613904,25.685967019889254
7,Kedelai,14378261.0,0.7704550687580354,0.3585156970755492,0.1679197017618409,Kedele Olahan,3,3,1,0.014124449544280724,0.010882253744808206,False,True,False,True,0.25471456956056715,164.58863376200293,Kedele Olahan; Hasil Pengolahan dan Pengawetan Buah-buahan dan Sayur-sayuran; Perdagangan selain Mobil dan Sepeda Motor,0.5983121419943821,171.8281828459045
57,Hasil Pengolahan dan Pengawetan Buah-buahan dan Sayur-sayuran,7624237.0,0.1916176036716652,0.3359367291399659,0.06557539697218154,Kedele Olahan,2,1,1,0.6126130729257995,0.11738744901197677,False,False,True,True,0.10783984103993671,22.314924007113458,Kedele Olahan; Hasil Pengolahan dan Pengawetan Buah-buahan dan Sayur-sayuran; Perdagangan selain Mobil dan Sepeda Motor,0.32607304098825457,53.02638006446192
50,Garam Kasar,1456010.0,0.35512612256645154,0.1388618897448601,0.030208977934381733,Ikan Kering dan Ikan Asin,2,1,0,9.829316240567027e-05,3.490646963992019e-05,False,True,False,True,0.07034981891835562,91.86303365967031,Ikan Kering dan Ikan Asin; Ikan; Rumput laut dan sejenisnya,0.2871503129315097,171.8281828459045
73,Minuman Beralkohol,1099903.0,0.10051414779149115,0.0,0.0072174951497640085,"Jasa Kesenian, Hiburan dan Rekreasi",0,0,0,0.6762360309567013,0.06797128835751326,False,False,True,True,0.0,10.863316117517563,"Jasa Lainnya; Minyak Hewani dan Minyak Nabati; Mie, Macaroni dan Sejenisnya",0.0,23.597966723522635
1,Padi,7749.0,2.720309957361274e-05,3.1048491036023895,0.6465155481168742,Hasil Penggilingan Padi dan Penyosohan Beras,5,3,3,4.715344347306315e-05,1.2827198180364566e-09,True,False,False,False,,,,,
2,Jagung,2627496.0,0.0321193802719031,4.361737529814927,0.31001108884673767,Makanan Hewan Olahan,7,5,2,0.19754664037555394,0.006345075663659304,True,False,False,False,,,,,
3,Ubi jalar,1.0,1.0947016549371208e-07,0.053944483134979154,0.05129050013421044,Ubi jalar,1,1,1,0.6440279810121808,7.05018496639847e-08,False,False,False,False,,,,,
6,Kacang tanah,114718.0,0.01568182187890147,0.777063580708079,0.03798722639724213,Kacang tanah,4,1,0,0.3621875046563055,0.00567975993478398,False,False,False,False,,,,,
8,Kacang-kacangan Lainnya,0.0,0.0,0.06943333702267578,0.0420917209773061,Kacang-kacangan Lainnya,1,1,0,0.896152488177154,0.0,False,False,False,False,,,,,
10,Sayur-sayuran,3919896.0,0.020681566114946457,5.546314623044157,0.08253622445917151,"Mie, Macaroni dan Sejenisnya",7,4,3,0.7051033165812952,0.014582640859744079,True,False,False,False,,,,,
12,Tebu,0.0,0.0,0.32453184717983435,0.2277416215096269,Gula,2,2,2,0.01612776503230267,0.0,False,False,False,False,,,,,
16,Buah-buahan,8567740.0,0.04280784410596842,4.116711613473129,0.2259271504154135,Hasil Pengolahan dan Pengawetan Buah-buahan dan Sayur-sayuran,9,4,2,0.7545678225135323,0.032301421713539336,True,False,False,False,,,,,
